Chain,Project,Symbol,Pool_ID,APY,TVL
Ontology,wing-finance,PWBTC,656de45e-8997-49cb-9ad3-3cc1f78133fc,16.18307,"$756,100"
Osmosis,osmosis-dex,WBTC-OSMO,e9fb2209-3b4a-467e-ad28-e9ecf0ead1d9,16.09784,"$7,043,383"
Optimism,kyberswap-elastic,WSTETH-WBTC,0c03ee85-d063-4daf-be7a-d245ecd616c0,15.92993,"$491,594"
Hedera,saucerswap,WBTC[HTS]-HBAR,6958b680-7ffa-48df-9dcc-9af9034beaf3,15.24085,"$326,023"
Ethereum,yearn-finance,CRVUSDTWBTCWETH,faffa839-9797-404b-89c1-475b81e4afb0,14.38264,"$736,146"
Polygon,clipper,USDC-ETH-USDT-MATIC-DAI-WBTC,69519709-c16a-4b4c-a4b7-50309ef9f832,14.3653,"$237,926"
Avalanche,joe-v2,WBTC.E-BTC.B,ee566e84-268c-4c72-a232-e2ce8a4fa164,14.26821,"$15,054"
Ethereum,uniswap-v3,BTC2X-FLI-WBTC,0654a4b1-ffc8-43c9-a18d-82c3859a8dba,14.18448,"$338,659"
Ethereum,uniswap-v3,WBTC-USDC,68de4da9-9e6d-46c6-87a7-927973b30abe,14.03834,"$2,434,693"
Ethereum,yearn-finance,CRVUSDCWBTCWETH,70684610-4bf2-489c-8329-af063de529a6,13.83756,"$108,396,961"
Neo,flamingo-finance,FWBTC-FUSDT,a947e1a6-815f-4c78-a9b6-bd7c9b00d64e,13.3287,"$1,824,546"
Polygon,beefy,MATIC-DAI-USDC-USDT-WBTC-ETH,86b069f5-0806-45e0-9f3d-8a0318bbccb9,13.32253,"$260,499"
Neo,flamingo-finance,BNEO-FWBTC,90a74198-57e9-4105-a604-d739334b69b8,12.88467,"$2,976,999"
Arbitrum,premia,WBTC,6e4f9893-fd64-42f0-8d50-49dbfa543a2c,12.8456,"$479,342"
Optimism,kyberswap-elastic,WBTC-KNC,6ff0e511-1954-4baa-b6a6-accdc88eb215,12.71981,"$71,940"
Ethereum,badger-dao,BADGER-WBTC,bb898c8d-5f87-47ed-a3c0-ee51686b23cb,12.65839,"$285,509"
Polygon,kyberswap-elastic,WBTC-WETH,1062183f-c56d-40ae-bf65-702f41abb367,12.53707,"$951,371"
Avalanche,pangolin,WBTC.E-USDC,c2ab1ddf-fa8c-47cc-b9fb-fd074753d4c1,12.37278,"$234,431"
Arbitrum,kyberswap-elastic,WBTC-WETH,ab847914-c906-4bc8-9a2a-236ff1fbfd8c,12.25153,"$2,502,781"
Ethereum,concentrator,USDC-WBTC-ETH,973117d6-19b3-4c38-ad3f-3590de75fae7,12.22,"$448,412"
Arbitrum,gamma,WBTC-USDC,71d1d2a0-7276-426a-be19-14919a49687a,12.00251,"$82,448"
Ethereum,concentrator,USDT-WBTC-ETH,71c5474f-752f-41f4-bfcf-42e24669b651,11.96,"$7,786,813"
Ethereum,balancer-v2,DNT-WBTC-VEE-KEY-SNT-QSP-WETH,2fc8799b-fa91-412b-83a2-0f226600dfb4,11.9555,"$28,067"
Polygon,uniswap-v3,WMATIC-WBTC,9549729b-b5e7-4daf-a454-297ca7e29d11,11.47483,"$105,481"
NEAR,ref-finance,WNEAR-WBTC,75eaa704-c67e-4c80-9bef-4999b0c0e74e,11.28037,"$202,808"
Polygon,beefy,MATIC-STMATIC-ETH-WBTC-LINK-UNI-AAVE-USDC-USDT-DAI-BUSD,cf75cb9f-dde7-4cf2-998c-cc8cb5c277c2,11.04391,"$1,022,216"
Polygon,uniswap-v3,WBTC-USDC,7c0f68a7-5459-43a0-82ee-7a79ab1f8fb0,11.00569,"$355,774"
Fuse,beefy,WBTC-WETH,b3cad15d-38c1-427d-b035-4a9b3c8d7abf,10.67541,"$198,354"
Ethereum,curve-dex,BADGER-WBTC,8c84fbb4-d73f-49ea-9101-2d760fddee16,10.55585,"$512,125"
Osmosis,apollodao,WBTC-OSMO-VT,7b87819f-c993-44f0-acc1-7c939432f27c,10.47343,"$89,909"
Ethereum,mellow-protocol,WBTC-WETH,2613bd91-b6d1-4dd8-9786-9aec6dbe4605,10.34551,"$115,340"
Carbon,demex,WBTC-SWTH,f0454638-a2db-4db9-8cf4-10a79bbed7d8,10.28691,"$56,580"
Ethereum,pancakeswap-amm-v3,WBTC-RETH,aaea9b9a-45ae-4d2a-bc24-9e4edec6ce18,9.99458,"$367,104"
Ethereum,convex-finance,USDC-WBTC-WETH,e3f71a8e-8f7c-4bc7-b111-f883c48c97af,9.972,"$47,367,602"
Ethereum,stakedao,DAI-ETH-WBTC,3965e619-03ce-463f-b66c-7682aa884250,9.96444,"$435,573"
Ethereum,kyberswap-elastic,WBTC-KNC,523e2bf8-05b1-46c6-a226-046d38412442,9.91397,"$71,999"
Cronos,vvs-finance,WBTC-USDC,6f2c51de-c8a0-480b-b7b5-6272d079a097,9.89984,"$58,940"
Ethereum,convex-finance,USDT-WBTC-WETH,3be97c90-d4a8-42b3-a0d0-2906ae4e9d27,9.72526,"$44,391,418"
Ethereum,beefy,USDC-WBTC-ETH,6b89a0cb-9f6d-4bad-b086-eb823def1e3d,9.4675,"$918,083"
Arbitrum,uniswap-v3,WBTC-USDC,223038c8-7bfa-4fcf-a839-0c4391c17e19,9.2572,"$551,315"
Arbitrum,tender-finance,WBTC,a307f0af-8808-4602-94bf-88eed4b25965,9.03404,"$128,592"
Ethereum,clipper,WBTC-USDC-USDT-DAI-ETH,a0edd673-322a-4be6-967c-2c57a8616147,8.93322,"$9,099,202"
Aurora,trisolaris,NEAR-WBTC,026e2ec6-06b2-467f-a67f-1522932ca028,8.58399,"$215,326"
Aurora,beefy,NEAR-WBTC,c713694a-bd45-45d4-948a-925fb7a28920,8.5316,"$38,257"
Arbitrum,beefy,USDT-WBTC-ETH,d649cc56-3732-4149-bf23-dfdfe3c468df,8.31957,"$3,759,651"
Polygon,meshswap,WETH-WBTC,5ccbf90b-00f9-4c62-87aa-a77d6bbc41a6,8.22349,"$82,893"
Avalanche,gmx,WBTC-ETH-USDC-DAI-FRAX-LINK-UNI-USDT,6a3ddb91-0638-4454-97c1-86dc6d59f32c,8.20849,"$68,209,268"
Ethereum,badger-dao,GRAVIAURA-DIGG-WBTC,7921bf7a-5136-4076-ad5d-e380db286638,8.20261,"$22,680"
Polygon,uniswap-v3,WBTC-USDC,c7277255-b09a-4818-bf30-b46126699730,8.1363,"$2,324,417"
Arbitrum,uniswap-v3,WBTC-USDC,9497e447-3a4a-4103-9059-6dbd36a5c616,8.06497,"$245,150"
Optimism,beefy,WETH-WBTC-USDC-USDT-DAI-OP,e167e275-b0ad-4119-a5d6-965a9341421f,7.9757,"$33,970"
Avalanche,beefy,AVAX-USDCE-USDC-WBTCE-BTCB-USDTE-WETHE,913d9feb-338e-4d43-9807-4aaf845710b0,7.72055,"$938,431"
Ethereum,bella-protocol,WBTC,b30d0d88-dbdf-4961-a2b3-26828e2e17ef,7.67,"$6,464,898"
Polygon,mm-finance-polygon,WBTC-USDC,94c16f4e-30bd-4dcc-8559-6a8af79ab37a,7.51328,"$59,364"
Arbitrum,gmx,WBTC-ETH-USDC-DAI-FRAX-LINK-UNI-USDT,825688c0-c694-4a6b-8497-177e425b7348,7.50763,"$490,332,375"
Polygon,gamma,WBTC-WETH,4fd5a565-5cd9-46fc-a406-b6e427bc6a64,7.20074,"$3,462,418"
Arbitrum,beefy,WETH-WBTC-LINK-UNI-USDCE-USDT-DAI-FRAX,79587734-a461-4f4c-b9e2-c85c70484cf8,7.03192,"$4,444,965"
Polygon,beefy,WBTC-ETH,50abe264-8a7e-4578-a720-70fd5cc7f995,7.02517,"$56,285"
Avalanche,curve-dex,AV3CRV-AVWBTC-AVWETH,43acdd23-dfe1-41a5-ac9d-8726462f0001,6.98438,"$2,548,769"
Avalanche,beefy,DAIE-USDCE-USDTE-WBTCE-WETHE,4c83218d-89d9-4e43-b229-108e20573c1f,6.98438,"$912,765"
Ethereum,concentrator,USDT-WBTC-WETH,4dc0dff1-3f24-46fc-98cc-a20fa678158b,6.87,"$859,162"
Moonbeam,acryptos,WBTC,ab6d8f66-15b5-4fac-a869-3d4231fa4a2d,6.86,"$29,245"
Moonbeam,moonwell-artemis,WBTC,d52a1d62-6c10-4f3c-8c50-8caeef38dc41,6.65935,"$5,337,917"
Arbitrum,3xcalibur,WBTC-LQETH,34ee9e57-0343-4b2b-a710-2535ce3f8b7d,6.53587,"$105,279"
Ethereum,uniswap-v3,WBTC-USDT,2608e751-41d4-47db-9b9c-4bf3a757fc1b,6.38904,"$11,739,725"
Polygon zkEVM,gamma,WETH-WBTC,28517301-ed22-4788-bf78-ac6828007893,6.38132,"$993,050"
Polygon zkEVM,gamma,WETH-WBTC,5df598e9-dfca-4bda-bae6-4d1167e4c657,6.31674,"$180,116"
Polygon,uniswap-v3,WBTC-DAI,0a746cc4-3ba3-4345-a156-b80e1277f125,6.21242,"$11,334"
Ethereum,uniswap-v3,WBTC-USDC,bbecbf69-a4f7-43e3-8b72-de180d106e2c,6.15432,"$35,307,899"
Arbitrum,clipper,USDC.E-ETH-USDT-DAI-WBTC,832ff073-9ad2-4dfc-90d7-6abf64e889d3,6.06926,"$817,052"
Ethereum,curve-dex,USDT-WBTC-WETH,3c2762d6-9c06-4a42-b098-40f9f885ae02,6.05267,"$46,110,910"
Avalanche,joe-v2.1,WBTC.E-BTC.B,6bfd664d-9fa1-46f1-b769-b7f92259f0bf,6.03329,"$1,323,016"
Ethereum,curve-dex,USDC-WBTC-WETH,4c29fa57-dec3-4977-ac87-805b0833235c,5.95733,"$54,157,058"
Ethereum,uniswap-v3,WBTC-WETH,d59a5728-d391-4989-86f6-a94e11e0eb3b,5.78621,"$88,140,028"
Arbitrum,pickle,USDT-WBTC-WETH,e26e1db2-f669-44e2-8a21-3d3b8794f650,5.75773,"$72,731"
Arbitrum,curve-dex,USDT-WBTC-WETH,429bbfd9-1496-4871-9406-b64f3d05f38d,5.73236,"$43,287,181"
Ethereum,convex-finance,USDT-WBTC-WETH,ad3d7253-fb8f-402f-a6f8-821bc0a055cb,5.60399,"$115,322,476"
Arbitrum,curve-dex,WBTC-TBTC,154766d1-36b2-4e64-b746-8be831eaea9c,5.5005,"$643,473"
Ethereum,sommelier,WBTC,5178bb2d-e3e3-4400-ba68-1e2de9b04df0,5.47139,"$3,975,858"
Ethereum,strike,WBTC,4971e4bc-7cb2-45c6-9a91-2777f2f32ee2,5.45726,"$2,248,250"
Ethereum,beefy,USDT-WBTC-ETH,16abac8a-4a4d-4067-b49a-3f0298e279bf,5.29329,"$599,507"
Optimism,gamma,WETH-WBTC,35cf12fd-d9bc-4482-ab6d-5d20e0eee545,5.26344,"$675,373"
Arbitrum,uniswap-v3,WBTC-USDT,76a365b1-2628-4a7a-adad-89488a1b4d89,5.2489,"$156,846"
Arbitrum,sushiswap,WBTC-WETH,4110c7de-fbe6-48e9-9d5a-bf0dd17d70a3,5.2305,"$1,747,268"
Solana,orca,WBTC-WHETH,dec33279-ae35-4ff8-8d69-2ecd3c8a3da5,5.10296,"$43,392"
NEAR,ref-finance,WBTC-ETH,573e8129-98b2-494b-96d5-fe4982aa3122,5.02011,"$386,880"
Arbitrum,lodestar-finance,WBTC,6232765b-955f-4cb2-882f-6333bc24ba8b,4.99339,"$1,689,022"
Ethereum,pancakeswap-amm-v3,WBTC-WETH,ca99ea38-1db3-4df3-90a3-91685cb591c3,4.81979,"$3,258,758"
Polygon,gamma,WBTC-WETH,46141f1a-72bf-444c-aae6-5799db37dd9c,4.76358,"$547,559"
Arbitrum,premia,WBTC,45b0a4ef-652c-4375-8de9-be19754ff01a,4.56418,"$468,373"
Ethereum,thorchain,WBTC-RUNE,2ee0a1a5-558b-4c5a-a7e9-94856399133d,4.38387,"$3,768,922"
Avalanche,beefy,BTCB-WBTCE,dc51ad7d-25c6-4a25-951e-23ae37c39fb4,4.33369,"$13,711"
Ethereum,aura,WBTC-BADGER,bf3e9957-a095-471a-abba-16f2f52b2ac2,4.31511,"$5,171,096"
Avalanche,trader-joe-dex,WBTC.E-WAVAX,c2d169e6-f91d-4d83-b7d3-e8fbb2cfedd9,4.28003,"$393,221"
Ethereum,badger-dao,WBTC-DIGG,a5858c20-881a-462b-961b-bbd0884fbfca,4.22031,"$92,370"
Polygon,uniswap-v3,WBTC-WETH,a0588b97-12c2-4d2a-9735-24da4dde450c,4.19642,"$7,535,770"
Polygon,pickle,WBTC-WETH,d51dbbe7-75de-4528-8067-27cb304665bd,4.12183,"$11,852"
Ethereum,aura,WBTC-DIGG-GRAVIAURA,5a349046-609f-4e4f-9f50-c497ce69cc74,4.09196,"$2,208,132"
Arbitrum,beefy,TBTC-WBTC,a110fee8-eeb9-44ad-bd3c-50ae10cc155a,3.90503,"$760,404"
Cronos,autofarm,WCRO-WBTC,4d81b358-d05a-474f-84a2-2083297997c1,3.87808,"$221,311"
Ethereum,across,WBTC,07d1a9bf-eafe-4a25-8dcc-c687a1d2478a,3.79798,"$3,584,646"
Cronos,beefy,CRO-WBTC,f2f3c91c-e933-47ef-a67d-46499b816bdd,3.78486,"$831,778"
Gnosis,acryptos,WBTC,77ea1650-1d0c-47fd-957c-a60347ea668b,3.67,"$38,166"
Ethereum,curve-dex,USDT-WBTC-WETH,9e4dbe67-f5fc-4428-8e6f-93d464f40a0d,3.51204,"$130,815,864"
Cronos,vvs-finance,WBTC-WCRO,91a5bc7d-da57-44b7-bf8f-059d3e8ee238,3.47836,"$3,204,916"
Tezos,plenty,TZBTC-WBTC.E,572246d7-85ba-497c-b849-b4777cb2901b,3.40923,"$29,845"
Polygon,quickswap-dex,WMATIC-WBTC,33d77bba-8466-4f70-9f16-bac8764e8b39,3.37272,"$14,407"
Polygon,beefy,DAI-USDC-USDT-WBTC-ETH,8fb640d4-9f84-4c46-bbbf-50bac96e548b,3.23221,"$5,525,252"
Ethereum,premia,WBTC,6f7ad224-0ad0-4225-954f-02d1f4623a9b,3.22282,"$41,677"
Ethereum,gearbox,WBTC,d547386b-afe5-4fe1-9b9c-727cfd0088f2,2.99333,"$1,964,415"
Avalanche,autofarm,WAVAX-WBTC.E,7462ab76-f597-4130-91fa-6c6aab3e3e9d,2.95466,"$11,623"
Arbitrum,uniswap-v3,WBTC-WETH,bb7e9353-129f-4e01-b822-f4250d0abb8a,2.94841,"$27,048,361"
Ethereum,unipilot,WBTC-WETH,276a7793-966a-4dd3-b8e8-f60769f21a37,2.93067,"$69,392"
Cronos,autofarm,WBTC-WETH,08fe26ce-886d-4dec-b482-78d18895d89b,2.88629,"$68,227"
Optimism,acryptos,WBTC,ca5d2317-d4f3-4515-a95c-6ca0bd1d0e2d,2.87,"$725,954"
Optimism,arrakis-v1,WETH-WBTC,773effdb-8b06-4151-82cd-770fe083d7ea,2.65321,"$31,106"
Polygon,quickswap-dex,WBTC-WETH,de5d5894-e216-4422-ac71-c10ef5b07331,2.61174,"$1,697,225"
Solana,marginfi,WBTC,0c403f97-3c9c-4184-9fa2-e730db30d417,2.53994,"$16,247"
Arbitrum,ramses-v2,WBTC-WETH,667300f1-a71c-457f-9ee2-a8f9df53e38e,2.47011,"$39,833"
Ethereum,convex-finance,HBTC-WBTC,7b9503c2-4955-40e7-991b-deb6b5461b21,2.37556,"$4,505,683"
Arbitrum,joe-v2.1,WBTC-WETH,316013d2-b4a3-49d8-9bb5-fc97f9f455b3,2.37095,"$144,704"
Ethereum,beefy,TBTC-SBTC-WBTC,5cead04b-f7e3-464b-b62b-741377ab3cba,2.34021,"$349,812"
Polygon,meshswap,OETH-OWBTC,90a03c7e-8789-4ec4-9deb-29cea9a0d3ef,2.29166,"$67,181"
Arbitrum,sentiment,WBTC,be73eb23-c894-4a8f-821c-2cac68157b38,2.21746,"$10,537"
Ethereum,notional,FWBTC,d9b0c9fb-0534-4eab-b1d0-c96e28580b01,2.21515,"$801,126"
Polygon,curve-dex,AM3CRV-AMWBTC-AMWETH,e646248a-065d-4035-a2b3-2b9d1af767cd,2.19771,"$14,720,981"
Ethereum,uniswap-v3,UNI-WBTC,59a2aa0c-b5d5-45b3-a219-8a51ba73858c,2.13033,"$290,804"
Arbitrum,steadefi,WBTC,09615b15-85b1-4491-9a08-d30b46793f0a,2.12345,"$136,184"
Ethereum,uniswap-v3,TBTC-WBTC,96421b44-5695-46ff-b88f-8ef71e8f0593,2.11005,"$609,820"
Optimism,beefy,SBTC-WBTC,07334545-4f3f-4820-9594-576c38ba5823,2.09189,"$869,635"
Ethereum,badger-dao,WBTC-BADGER,c1804bf1-fc8e-4799-810b-03f50ccdc149,2.05189,"$667,496"
Optimism,reaper-farm,WBTC,ff6fcbc2-04ff-4870-95cf-9308f0263e81,2.02013,"$198,143"
Ethereum,notional,FWBTC,b124e478-b4ae-4d8d-ae19-97074c6fc350,2,"$715,238"
Arbitrum,dolomite,WBTC,0464e11e-9c6d-46ab-b16e-a7dbdc71ec9d,1.98046,"$46,282"
Ethereum,merkl,WBTC-WETH,6da82743-d7ae-4283-9c71-816ce6fd4d19,1.92732,"$289,911"
Optimism,sonne-finance,WBTC,5fae807c-8386-4832-9df0-6de05f74374b,1.8771,"$8,408,880"
Polygon,complifi,WBTC,eaeba606-dd79-4d22-84eb-a4ca37233cec,1.81134,"$12,394"
Ethereum,concentrator,WBTC-SBTC,1eb90ea1-0705-42d1-a97e-bca12dd00f34,1.72,"$7,345,382"
Avalanche,pangolin,WBTC.E-WAVAX,8b2563a1-3873-41b4-b855-3c2eda43dca2,1.70052,"$82,284"
Ethereum,paraspace-lending,WBTC,8705d9f5-a9d6-4d6e-9525-cb37bed27c16,1.67817,"$260,740"
NEAR,burrow,WBTC,33905a0e-f5da-4dd8-89b0-c08a6f80bbd0,1.65949,"$654,223"
Ontology,wing-finance,WBTC,3cb18617-d35e-4a66-8e60-cc41cabc9a69,1.63374,"$14,578"
Optimism,reaper-farm,WBTC,e8907925-a4cd-44ea-bc44-32d67cb4e778,1.55059,"$510,545"
Ethereum,uniswap-v3,WBTC-BBTC,bc1e6c20-9bc0-4803-8db6-24e489ad3c22,1.53913,"$219,760"
Arbitrum,badger-dao,WBTC-WETH,b7354ba3-917a-4683-b155-712a72dbdfa0,1.52827,"$194,988"
Arbitrum,beefy,WBTC-WETH,099452f9-37b6-4c00-9706-1bbc5a15ff13,1.48829,"$60,539"
Polygon,unipilot,WBTC-WETHBALANCED,7ed3d4d1-8fd4-4f21-9272-7532c1647fa9,1.48723,"$22,782"
Ethereum,uniswap-v3,WBTC-WETH,c5599b3a-ea73-4017-a867-72eb971301d1,1.45499,"$225,947,410"
Ethereum,convex-finance,WBTC-SBTC,121db150-af43-4d99-bcf0-6c5c64aba7c1,1.41379,"$17,748,177"
Polygon,meshswap,WBTC,d806a07f-2582-4b93-8317-149c870dc306,1.3886,"$1,416,467"
Astar,avault,WBTC-WASTRLP,41a6ea42-188e-4c25-838d-1d2aba93849b,1.36,"$336,861"
Optimism,gamma,WSTETH-WBTC,f8bf9472-4918-4a00-aa1e-bbd55de4e662,1.3541,"$26,230"
Arbitrum,chronos,WBTC-WETH,9c3f4abe-38f9-4d9a-a0e3-76caff7fe4fc,1.3465,"$584,624"
Polygon,quickswap-dex,WBTC-USDC,03fbf237-c088-434e-8d58-5257dcf8b840,1.34537,"$198,119"
Aurora,aurigami,WBTC,de293a32-2aac-41a7-b104-027e9ee2a4d4,1.30945,"$220,912"
Arbitrum,camelot-v2,WBTC-WETH,ccaa1bdc-8576-4d3a-b163-256d161f4eea,1.30882,"$264,138"
Ethereum,beefy,SBTC-WBTC,b8e37a6b-c56f-4276-9dd3-58d71bf9a760,1.29308,"$664,150"
Ethereum,loopring,LRC-WBTC,fe2a11fa-004c-4b55-a5bc-30435598ead4,1.29,"$65,578"
Ethereum,uniswap-v3,WBTC-DAI,6c3c8aca-ad80-45f5-89b6-ff54fd8c564c,1.24222,"$482,840"
Ethereum,uwu-lend,WBTC,8b2684ff-b5a1-43de-8bc4-1a08adfdf781,1.24163,"$5,896,874"
Polygon,quickswap-dex,WBTC-TEL,cbbd2a67-47a4-4928-bc04-2783808c45a3,1.16462,"$276,826"
Ethereum,beefy,WBTC-ETH,d54e0cf8-19fc-422c-b9de-fd7eec37195d,1.15833,"$1,186,977"
Polygon,unipilot,WBTC-WETHBALANCED,3fc35ee1-3263-40b3-908e-c77fbab9093b,1.13894,"$28,540"
Polygon,balancer-v2,WMATIC-WBTC-LINK-WETH-DAI-BAL-1INCH-AAVE,61a2e96d-28a2-4039-bbfb-f4a2c847912a,1.09379,"$28,945"
Algorand,folks-finance-lending,WBTC,43eb5f56-53f6-4679-bd03-8b39a8f90497,1.09,"$39,904"
Ethereum,harvest-finance,WBTC-ETH,62cb0d38-48ea-42da-984d-e69ce1260f42,1.04,"$97,341"
Polygon,sushiswap,WBTC-ZEEM,2b7e4641-a3b9-465b-9273-eb455a3823df,1.02824,"$111,637"
Astar,starlay-finance,WBTC,7b948868-c756-497b-874c-fd3a1a1d96c7,0.95036,"$176,193"
Ethereum,curve-dex,USDT-WBTC-WETH,9abc391b-1ddf-4afb-bced-43dcc26c3fa6,0.94662,"$356,551"
Ethereum,convex-finance,USDT-WBTC-WETH,4a7a3e0b-778e-477b-88e5-f26176d8cecb,0.94662,"$15,335"
Cronos,acryptos,WBTC,90da7938-9a35-47b8-965d-15069197c47f,0.94,"$11,251"
Ethereum,badger-dao,WBTC-DIGG,df99ee89-5e6a-419d-8545-9dc84d1e39fb,0.92056,"$150,243"
NEAR,pembrock-finance,WBTC,efb4f567-ada6-46a7-8b4a-a1da3da51c99,0.92,"$28,361"
Arbitrum,balancer-v2,CRV-WBTC-WSTETH-GDAI-LINK-UNI,61840f76-78ce-4901-86c0-78c528ddcffe,0.91153,"$30,220"
Polygon,sushiswap,TUT-WBTC,99b22a2a-8536-402e-8536-ad80368f510d,0.90293,"$731,663"
Arbitrum,uniswap-v3,WBTC-DAI,aca2c6cf-a198-4abc-8080-484274504b83,0.89641,"$19,943"
Arbitrum,radiant-v2,WBTC,3abdc920-1bba-495d-9f3d-fb11d8cadd4e,0.8467,"$20,949,306"
Ethereum,badger-dao,WBTC-BADGER,138eb985-80b7-4f54-926f-905376a44b23,0.81667,"$698,503"
Osmosis,osmosis-dex,NGM-WBTC,830988fe-3a80-4075-a4db-9d05f0a35586,0.74807,"$21,722"
Polygon,uniswap-v3,WBTC-WETH,726e7de0-289d-4589-9dbf-c04d26115255,0.7345,"$995,344"
Ethereum,curve-dex,WBTC-SBTC,79ca318f-3ed4-4c37-9062-488b1d6e4fff,0.73057,"$21,821,496"
Fantom,reaper-farm,FTM-WBTC-WSTA-WETH-BEETS,87d5266a-ca4e-4af7-a28e-7a49af7538e2,0.73049,"$19,421"
Ethereum,curve-dex,HBTC-WBTC,0621b0d7-07aa-4811-9e26-46799c23f02f,0.71469,"$10,945,817"
Ethereum,gamma,WBTC-WETH,58b851df-f57f-4d19-9299-4f5948f11269,0.70961,"$44,655"
